episode_id;season;original_air_date;imdb_rating;imdb_votes;us_viewers_in_millions;views
32;2;1991-04-25;8.5;1684.0;17.7;52770.0
33;2;1991-05-02;7.9;1246.0;19.7;51997.0
34;2;1991-05-09;8.4;1379.0;21.0;50403.0
265;12;2001-04-01;6.9;719.0;13.3;49065.0
35;2;1991-07-11;8.0;1223.0;17.3;52829.0
36;3;1991-09-19;8.6;1798.0;22.9;55238.0
42;3;1991-10-31;8.2;1369.0;20.0;103012.0
266;12;2001-04-29;8.6;1095.0;14.4;53728.0
37;3;1991-09-26;7.7;1274.0;20.2;52098.0
38;3;1991-10-03;8.2;1302.0;22.8;53499.0
306;14;2003-03-16;7.3;557.0;13.0;47386.0
43;3;1991-11-07;7.9;1243.0;23.0;53093.0
318;15;2003-11-30;7.2;586.0;11.7;39180.0
39;3;1991-10-10;8.7;1446.0;20.8;64342.0
40;3;1991-10-17;8.5;1452.0;20.6;50601.0
329;15;2004-03-28;6.9;599.0;10.5;44539.0
41;3;1991-10-24;7.7;1262.0;20.2;45586.0
47;3;1991-12-26;8.2;1213.0;21.9;47880.0
337;16;2004-11-14;7.0;566.0;11.64;41064.0
44;3;1991-11-14;7.9;1194.0;24.7;55808.0
45;3;1991-11-21;8.8;1618.0;23.9;58968.0
46;3;1991-12-05;8.2;1291.0;21.1;55987.0
48;3;1992-01-09;8.5;1365.0;24.2;58919.0
51;3;1992-02-13;8.3;1272.0;20.5;53123.0
49;3;1992-01-23;8.0;1179.0;23.2;49457.0
50;3;1992-02-06;8.0;1176.0;23.7;58991.0
52;3;1992-02-20;8.6;1637.0;24.6;72378.0
54;3;1992-03-12;7.7;1165.0;23.4;49665.0
55;3;1992-03-26;7.9;1233.0;25.5;46901.0
53;3;1992-02-27;8.2;1201.0;23.7;61508.0
58;3;1992-05-07;7.8;1160.0;19.5;48058.0
57;3;1992-04-23;7.7;1176.0;17.5;50068.0
56;3;1992-04-09;8.2;1233.0;17.3;57582.0
59;3;1992-08-27;8.2;1227.0;17.2;50936.0
60;4;1992-09-24;8.4;1414.0;21.8;67081.0
61;4;1992-10-01;8.1;1339.0;18.3;54487.0
63;4;1992-10-15;7.8;1194.0;19.0;52203.0
62;4;1992-10-08;9.0;1747.0;19.3;64605.0
65;4;1992-11-03;8.2;1293.0;20.1;55740.0
64;4;1992-10-29;8.4;1394.0;25.1;108171.0
66;4;1992-11-05;7.8;1163.0;22.9;69527.0
67;4;1992-11-12;8.2;1240.0;23.1;54557.0
69;4;1992-12-03;8.5;1350.0;28.6;62070.0
70;4;1992-12-17;8.7;1445.0;23.6;57400.0
68;4;1992-11-19;8.8;1595.0;24.0;63564.0
71;4;1993-01-14;9.0;2028.0;23.0;88171.0
72;4;1993-01-21;8.0;1153.0;24.5;56396.0
73;4;1993-02-04;8.1;1176.0;23.8;59040.0
74;4;1993-02-11;8.3;1268.0;25.2;62309.0
75;4;1993-02-18;8.3;1209.0;25.7;84874.0
76;4;1993-03-11;9.0;1827.0;22.4;71907.0
77;4;1993-04-01;7.2;1105.0;25.5;49139.0
80;4;1993-05-06;7.7;1080.0;17.3;68692.0
78;4;1993-04-15;8.1;1122.0;20.1;53404.0
79;4;1993-04-29;8.1;1234.0;20.0;60739.0
81;4;1993-05-13;8.2;1269.0;19.4;59948.0
82;5;1993-09-30;8.4;1416.0;19.9;58390.0
83;5;1993-10-07;9.0;2010.0;20.0;65585.0
87;5;1993-11-04;8.0;1132.0;21.7;53490.0
85;5;1993-10-21;8.9;1479.0;19.5;57149.0
84;5;1993-10-14;8.6;1476.0;18.1;64802.0
86;5;1993-10-28;8.7;1437.0;24.0;110251.0
88;5;1993-11-11;7.7;1085.0;18.7;74139.0
89;5;1993-11-18;8.7;1270.0;20.1;83238.0
90;5;1993-12-09;8.4;1308.0;20.6;59350.0
91;5;1993-12-16;8.5;1274.0;17.9;82216.0
